timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
2021_11_18_08:12:04.135,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.73 ,0.73 ,18.81 ,23.29 ,34.27
2021_11_18_08:12:04.209,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.92 ,0.61 ,19.64 ,23.51 ,34.34
2021_11_18_08:12:04.285,-0.04 ,-0.23 ,-0.98 ,-1.04 ,-0.98 ,0.55 ,18.95 ,23.65 ,35.18
2021_11_18_08:12:04.360,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.55 ,18.21 ,23.46 ,35.99
2021_11_18_08:12:04.420,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.73 ,0.55 ,18.82 ,23.07 ,35.71
2021_11_18_08:12:04.495,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.67 ,18.95 ,23.14 ,34.79
2021_11_18_08:12:04.558,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.67 ,18.59 ,23.03 ,34.44
2021_11_18_08:12:04.630,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.92 ,0.61 ,18.75 ,23.10 ,35.33
2021_11_18_08:12:04.737,-0.03 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.55 ,19.13 ,23.41 ,34.70
2021_11_18_08:12:04.810,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.73 ,0.61 ,18.99 ,23.72 ,35.67
2021_11_18_08:12:04.915,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.67 ,0.67 ,18.84 ,23.07 ,35.11
2021_11_18_08:12:05.020,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.61 ,18.52 ,23.35 ,34.56
2021_11_18_08:12:05.112,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.55 ,19.07 ,23.19 ,35.19
2021_11_18_08:12:05.185,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.79 ,0.67 ,18.98 ,23.60 ,35.58
