timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
2021_11_18_08:12:00.730,-0.00 ,-0.00 ,1.00 ,1.16 ,0.18 ,0.18 ,-1.51 ,-22.96 ,-13.77
2021_11_18_08:12:00.835,-0.00 ,-0.00 ,1.00 ,0.79 ,0.31 ,0.24 ,-1.04 ,-22.89 ,-14.98
2021_11_18_08:12:00.909,-0.00 ,-0.00 ,1.00 ,0.92 ,0.31 ,0.31 ,-1.17 ,-22.96 ,-14.07
2021_11_18_08:12:00.984,-0.00 ,-0.00 ,1.00 ,0.92 ,0.12 ,0.18 ,-1.04 ,-22.86 ,-15.45
2021_11_18_08:12:01.059,-0.00 ,-0.00 ,1.00 ,1.04 ,0.24 ,0.31 ,-1.26 ,-22.73 ,-15.47
2021_11_18_08:12:01.134,-0.00 ,-0.00 ,1.00 ,1.10 ,0.06 ,0.24 ,-1.26 ,-22.77 ,-14.31
2021_11_18_08:12:01.194,-0.00 ,-0.00 ,1.00 ,0.98 ,0.24 ,0.18 ,-1.42 ,-22.77 ,-14.75
2021_11_18_08:12:01.269,-0.00 ,-0.00 ,1.00 ,0.98 ,0.31 ,0.06 ,-1.42 ,-22.77 ,-14.75
2021_11_18_08:12:01.344,-0.00 ,-0.00 ,1.00 ,1.10 ,0.31 ,0.37 ,-1.22 ,-22.71 ,-14.55
2021_11_18_08:12:01.419,-0.00 ,-0.00 ,1.00 ,1.04 ,0.18 ,0.37 ,-1.66 ,-22.75 ,-14.16
2021_11_18_08:12:01.479,-0.00 ,-0.00 ,1.00 ,1.04 ,0.24 ,0.18 ,-1.66 ,-22.75 ,-14.16
2021_11_18_08:12:01.599,-0.00 ,-0.00 ,1.00 ,0.92 ,0.12 ,0.31 ,-1.39 ,-23.07 ,-15.21
2021_11_18_08:12:01.706,-0.00 ,-0.00 ,1.00 ,1.22 ,0.18 ,0.31 ,-1.48 ,-22.92 ,-13.39
2021_11_18_08:12:01.779,-0.00 ,-0.00 ,1.00 ,0.98 ,0.31 ,0.31 ,-1.45 ,-23.00 ,-13.88
2021_11_18_08:12:01.839,-0.00 ,-0.00 ,1.00 ,0.92 ,0.06 ,0.18 ,-1.31 ,-22.51 ,-15.06
2021_11_18_08:12:01.960,-0.00 ,-0.00 ,1.00 ,1.04 ,0.12 ,0.12 ,-1.12 ,-22.56 ,-14.99
2021_11_18_08:12:02.019,-0.00 ,-0.00 ,1.00 ,0.92 ,0.06 ,0.24 ,-1.67 ,-22.68 ,-14.84
2021_11_18_08:12:02.095,-0.00 ,-0.00 ,1.00 ,1.04 ,0.31 ,0.06 ,-1.33 ,-22.74 ,-15.70
2021_11_18_08:12:02.154,-0.00 ,-0.00 ,1.00 ,1.10 ,0.06 ,0.12 ,-1.26 ,-23.07 ,-14.39
2021_11_18_08:12:02.229,-0.00 ,-0.00 ,1.00 ,0.85 ,0.18 ,0.18 ,-1.28 ,-22.91 ,-15.10
2021_11_18_08:12:02.319,-0.00 ,-0.00 ,1.00 ,0.92 ,0.18 ,0.18 ,-1.87 ,-23.00 ,-14.26
