timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
1638174361432,-0.08 ,-0.15 ,0.95 ,1.53 ,1.65 ,-4.21 ,-50.57 ,21.46 ,-58.83
1638174361462,-0.05 ,-0.14 ,0.99 ,-3.42 ,0.43 ,-0.92 ,-50.57 ,20.91 ,-58.14
1638174361507,-0.04 ,-0.15 ,0.96 ,-0.49 ,0.49 ,-0.43 ,-50.24 ,21.34 ,-58.96
1638174361537,-0.05 ,-0.14 ,1.00 ,-2.26 ,0.24 ,-0.12 ,-50.24 ,21.34 ,-58.96
1638174361582,-0.04 ,-0.14 ,0.99 ,1.22 ,0.67 ,-0.37 ,-50.18 ,21.36 ,-58.23
1638174361612,0.04 ,-0.21 ,0.92 ,-21.12 ,-4.64 ,-10.80 ,-50.21 ,20.68 ,-58.57
1638174361642,-0.13 ,-0.32 ,0.93 ,61.34 ,1.40 ,52.86 ,-50.21 ,20.68 ,-58.57
1638174361687,-0.32 ,0.33 ,1.22 ,25.09 ,-10.86 ,64.39 ,-50.24 ,23.25 ,-60.45
1638174361732,-0.00 ,-0.18 ,0.99 ,-12.51 ,4.15 ,-24.84 ,-49.65 ,24.50 ,-62.56
1638174361777,-0.16 ,-0.66 ,1.09 ,1.16 ,35.34 ,-4.15 ,-48.57 ,24.55 ,-62.59
1638174361808,-0.10 ,-0.01 ,1.51 ,73.61 ,-15.62 ,97.60 ,-47.72 ,31.76 ,-64.90
1638174361853,-0.02 ,-0.57 ,1.11 ,165.41 ,31.01 ,32.96 ,-47.72 ,31.76 ,-64.90
1638174361886,0.16 ,-0.69 ,1.21 ,214.29 ,35.03 ,55.91 ,-43.98 ,46.83 ,-57.79
1638174361927,0.04 ,0.07 ,-0.34 ,93.93 ,15.38 ,-6.53 ,-38.18 ,57.70 ,-41.20
1638174361958,0.03 ,-0.46 ,0.54 ,136.17 ,0.37 ,-13.85 ,-38.18 ,57.70 ,-41.20
1638174362002,0.20 ,-0.47 ,1.01 ,136.66 ,-23.99 ,50.23 ,-39.50 ,57.56 ,-27.97
1638174362032,-0.44 ,-1.10 ,-0.04 ,110.96 ,59.45 ,76.35 ,-39.47 ,53.96 ,-23.96
1638174362077,0.24 ,-0.93 ,0.79 ,93.93 ,91.06 ,95.40 ,-35.33 ,50.84 ,-27.53
1638174362122,0.14 ,-0.12 ,0.36 ,188.23 ,13.55 ,5.43 ,-35.33 ,50.84 ,-27.53
1638174362152,0.17 ,-0.84 ,0.35 ,218.63 ,-138.24 ,-78.80 ,-36.27 ,51.89 ,-24.45
1638174362197,0.27 ,-0.98 ,0.58 ,16.17 ,59.69 ,5.25 ,-37.72 ,51.86 ,-18.26
1638174362246,-0.02 ,-0.77 ,0.60 ,-81.48 ,68.73 ,66.16 ,-36.58 ,52.95 ,-22.35
