timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
1638174392529,-0.04 ,-0.09 ,0.99 ,1.46 ,0.55 ,-0.43 ,-51.17 ,53.02 ,-45.61
1638174392559,-0.04 ,-0.09 ,0.99 ,1.46 ,0.55 ,-0.43 ,-51.17 ,53.02 ,-45.61
1638174392604,-0.05 ,-0.09 ,0.99 ,1.04 ,0.73 ,-0.49 ,-51.17 ,53.02 ,-45.61
1638174392634,-0.04 ,-0.09 ,0.99 ,0.92 ,0.55 ,-0.37 ,-50.73 ,53.38 ,-45.07
1638174392664,-0.04 ,-0.09 ,0.99 ,1.34 ,0.67 ,-0.31 ,-50.79 ,52.84 ,-45.83
1638174392709,-0.04 ,-0.09 ,0.99 ,1.16 ,0.61 ,-0.24 ,-51.16 ,53.58 ,-45.98
1638174392742,-0.04 ,-0.09 ,0.99 ,1.16 ,0.61 ,-0.24 ,-51.16 ,53.58 ,-45.98
1638174392784,-0.05 ,-0.09 ,0.99 ,1.16 ,0.73 ,-0.37 ,-51.01 ,53.44 ,-46.25
1638174392814,-0.04 ,-0.09 ,0.99 ,1.22 ,0.55 ,-0.49 ,-51.25 ,53.15 ,-46.15
1638174392874,-0.04 ,-0.09 ,0.99 ,1.16 ,0.43 ,-0.37 ,-51.25 ,53.15 ,-46.15
1638174392903,-0.04 ,-0.09 ,0.99 ,1.16 ,0.67 ,-0.43 ,-50.88 ,53.48 ,-47.11
1638174392935,-0.04 ,-0.09 ,0.99 ,1.28 ,0.43 ,-0.43 ,-51.28 ,53.21 ,-45.48
1638174392966,-0.04 ,-0.09 ,0.99 ,1.28 ,0.43 ,-0.43 ,-51.28 ,53.21 ,-45.48
1638174393009,-0.04 ,-0.09 ,0.99 ,1.10 ,0.55 ,-0.37 ,-51.28 ,53.21 ,-45.48
1638174393040,-0.05 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.37 ,-51.07 ,53.72 ,-45.89
1638174393084,-0.04 ,-0.09 ,0.99 ,1.16 ,0.55 ,-0.24 ,-51.45 ,53.39 ,-46.19
1638174393129,-0.04 ,-0.09 ,0.99 ,0.98 ,0.43 ,-0.37 ,-51.32 ,53.36 ,-45.84
1638174393159,-0.05 ,-0.09 ,0.99 ,1.16 ,0.61 ,-0.37 ,-51.32 ,53.36 ,-45.84
1638174393207,-0.04 ,-0.09 ,0.99 ,1.16 ,0.61 ,-0.37 ,-50.84 ,53.32 ,-45.61
1638174393233,-0.04 ,-0.09 ,0.99 ,1.16 ,0.61 ,-0.49 ,-51.09 ,54.27 ,-44.45
1638174393279,-0.04 ,-0.09 ,0.99 ,1.04 ,0.61 ,-0.37 ,-50.68 ,53.15 ,-45.50
1638174393325,-0.04 ,-0.09 ,0.99 ,1.22 ,0.49 ,-0.37 ,-50.68 ,53.15 ,-45.50
1638174393354,-0.04 ,-0.09 ,0.99 ,1.16 ,0.55 ,-0.31 ,-51.11 ,53.88 ,-45.35
1638174393400,-0.04 ,-0.09 ,0.99 ,1.16 ,0.43 ,-0.31 ,-50.90 ,54.19 ,-46.48
1638174393444,-0.04 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.43 ,-50.60 ,53.20 ,-45.34
